"1","Hamburguesa de pollo","http://www.onlinepersonaltrainer.es/wp-content/uploads/2014/11/Hamburguesas-de-pollo.jpg","47","6.5","1","1"
"2","Filete de ternera","https://img.recetascomidas.com/recetas/640_480/filete-de-ternera-a-la-parrilla.jpg","32","10.95","1","1"
"3","Salmón ahumado","https://www.recetin.com/wp-content/uploads/2011/01/salmon-ahumado.jpg","20","12.95","2","1"
"4","Bacalao al pilpil","https://www.miscosillasdecocina.com/wp-content/uploads/2014/02/bacalao-pilpil-e1491084486535.jpg","25","11.5","2","1"
"5","Espaguetis a la carbonara","http://sevilla.abc.es/gurme//wp-content/uploads/2009/08/670_carbonarainterior_1251742200.jpg","60","7.95","3","1"
"6","Ñoquis con tomate","https://upload.wikimedia.org/wikipedia/commons/a/a3/%C3%91oquis1.jpg","30","6.5","3","1"
"7","Arroz tres delicias","https://unareceta.com/wp-content/uploads/2016/10/arroz-tres-delicias.jpg","94","4.95","4","1"
"8","Arroz al horno","https://i.ytimg.com/vi/5tKKQxlLnRY/maxresdefault.jpg","87","4.95","4","1"
"9","Ensalada cesar","https://lacocinadefrabisa.lavozdegalicia.es/wp-content/uploads/2016/04/ensalada-cesar.jpg","20","8.95","5","1"
"10","Ensalada mediterranea","https://img-global.cpcdn.com/002_recipes/recipes_16759_v1393347074_receta_foto_00016759/400x400cq70/photo.jpg","22","6.95","5","1"
